id,jan,janInv,feb,febInv,mar,marInv,product_name
166,37.00,162,56.00,157,24.00,163,REFRESCO COCA COLA 500 RETORNABLE
326,36.00,67,29.65,68,3.00,68,PAPEL ENCERADO CUADROS 20 X30 250GR
537,119.00,318,15.00,288,0.00,307,CONCHA INIX 1414 A PZ
1001,910.00,1284,1415.00,1259,698.00,1304,AZUCAR ESTANDAR 1KG
1003,74.70,378,327.09,372,146.10,359,PILONCILLO 1/KILO #1003
1006,40.50,166,105.00,165,40.50,162,MAIZ PALOMERO P/K
1091,100.00,429,276.00,417,75.00,397,CANELA ROLLITO 1 PIEZA
1093,967.00,926,1009.00,890,494.00,898,CANELA E/ROLLO GRANDE 1PZAS
1807,223.82,227,296.54,230,187.96,243,JAMON VIVA P/KILO
1810,165.59,161,162.81,166,79.63,170,CREMA A-18 NATURAL ECONOMICA 1 1K
1822,121.16,195,166.74,193,117.31,195,QUESO ALTEÑITO P/KILO
1827,1348.35,806,1919.74,805,970.42,796,HUEVO KILO/CART
1830,403.21,302,574.50,307,343.09,318,AZUCAR ESTANDAR 1KG
1852,71.29,203,119.18,177,70.10,198,SALCHICHA SUPER PAVO ROSS P/KILO
1877,128.44,144,168.26,146,89.13,150,QUESO LALA CHIHUAHUA POR KG
2257,0.00,382,0.00,382,0.00,400,REGALOS DE LOZA
2305,231.00,259,347.00,264,129.00,263,QUESO ASADERO GRAN RESERVA 200GR
2367,99.42,176,153.88,178,87.35,177,QUESO TIPO OAXACA ARRIEROS P/KILO
2451,133.35,140,177.47,139,81.52,140,BOLSA CAMISETA BIODEGRADABLE 1KG
2513,10.00,115,75.00,114,45.00,108,LISTON CURLING POR METRO
2520,867.00,1208,1097.00,1196,556.00,1180,CERILLOS CLASICOS LA CENTRAL 1 CAJETILLA
3574,42.00,156,156.00,163,29.00,165,HOJA COLOR 1 PZA
3642,1.00,22,0.00,39,1.00,27,TAPA REYMA TRASNPARENTE #10 1 PZA
5254,219.00,212,325.00,211,158.00,214,ROLLO BIG QUALITY C/6
7248,51.00,278,76.00,297,6.00,302,SEDALMERCK C/1'S
8000,153.50,188,220.00,188,139.50,188,GALL.ANIMALITOS POR KILO
9157,330.00,534,714.00,535,350.00,562,GASA SIMPLE GRANDE 1 PZAS
9852,2.00,46,9.00,62,5.00,59,TAPA REYMA 4A-8 C/50
9995,50.00,110,1.00,125,1.00,130,TAPA REYMA 4A-12 1 PZA
18365,383.38,309,518.08,312,309.67,327,QUESO TIPO COTIJA ARRIEROS P/KILO
